Unnamed: 0,vehicle_name,engine_size(l),cylinders,fuel_type,fuel_consumption_comb_(mpg),co2_emissions(g/km)
68,AUDI_TTS_ROADSTER_QUATTRO,2.0,4,Z,27,237
69,BENTLEY_CONTINENTAL_GT,4.0,8,Z,21,314
70,BENTLEY_CONTINENTAL_GT,6.0,12,Z,18,356
71,BENTLEY_CONTINENTAL_GTC,4.0,8,Z,20,332
72,BENTLEY_CONTINENTAL_GTC,6.0,12,Z,17,380
73,BENTLEY_CONTINENTAL_GT_SPEED_CONVERTIBLE,6.0,12,Z,17,380
74,BENTLEY_FLYING_SPUR,6.0,12,Z,17,388
75,BENTLEY_MULSANNE,6.8,8,Z,15,437
76,BMW_320i,2.0,4,Z,34,193
77,BMW_320i,2.0,4,Z,32,200
78,BMW_320i_xDRIVE,2.0,4,Z,32,202
79,BMW_328d_xDRIVE,2.0,4,D,42,181
80,BMW_328d_xDRIVE_TOURING,2.0,4,D,42,181
81,BMW_328i,2.0,4,Z,34,193
82,BMW_328i,2.0,4,Z,32,200
83,BMW_328i_xDRIVE,2.0,4,Z,31,209
84,BMW_328i_xDRIVE_GRAN_TURISMO,2.0,4,Z,31,209
85,BMW_328i_xDRIVE_TOURING,2.0,4,Z,31,209
86,BMW_335i,3.0,6,Z,29,221
87,BMW_335i,3.0,6,Z,28,230
88,BMW_335i_xDRIVE,3.0,6,Z,29,228
89,BMW_335i_xDRIVE,3.0,6,Z,27,237
90,BMW_335i_xDRIVE_GRAN_TURISMO,3.0,6,Z,28,232
91,BMW_428i_COUPE,2.0,4,Z,34,193
92,BMW_428i_COUPE,2.0,4,Z,32,200
93,BMW_428i_xDRIVE_COUPE,2.0,4,Z,31,209
94,BMW_435i_COUPE,3.0,6,Z,29,221
95,BMW_435i_COUPE,3.0,6,Z,28,230
96,BMW_435i_xDRIVE_COUPE,3.0,6,Z,29,228
97,BMW_435i_xDRIVE_COUPE,3.0,6,Z,27,237
98,BMW_528i,2.0,4,Z,32,202
99,BMW_528i_xDRIVE,2.0,4,Z,31,209
100,BMW_535d_xDRIVE,3.0,6,D,36,213
101,BMW_535i_xDRIVE,3.0,6,Z,28,232
102,BMW_535i_xDRIVE_GRAN_TURISMO,3.0,6,Z,26,246
103,BMW_550i_xDRIVE,4.4,8,Z,23,281
104,BMW_550i_xDRIVE_GRAN_TURISMO,4.4,8,Z,22,292
105,BMW_640i_xDRIVE_GRAN_COUPE,3.0,6,Z,28,232
106,BMW_650i_xDRIVE_CABRIOLET,4.4,8,Z,22,292
107,BMW_650i_xDRIVE_COUPE,4.4,8,Z,23,281
108,BMW_650i_xDRIVE_GRAN_COUPE,4.4,8,Z,22,292
109,BMW_740Li_xDRIVE,3.0,6,Z,26,246
110,BMW_750i_xDRIVE,4.4,8,Z,22,292
111,BMW_750Li_xDRIVE,4.4,8,Z,22,292
112,BMW_760Li,6.0,12,Z,18,356
113,BMW_ACTIVEHYBRID_3,3.0,6,Z,34,191
114,BMW_ACTIVEHYBRID_5,3.0,6,Z,30,214
115,BMW_ACTIVEHYBRID_7L,3.0,6,Z,31,212
116,BMW_ALPINA_B7_xDRIVE_LWB,4.4,8,Z,22,292
117,BMW_ALPINA_B7_xDRIVE_SWB,4.4,8,Z,22,292
118,BMW_M5,4.4,8,Z,19,338
119,BMW_M5,4.4,8,Z,20,317
120,BMW_M6,4.4,8,Z,19,338
121,BMW_M6,4.4,8,Z,20,317
122,BMW_M6_CABRIOLET,4.4,8,Z,19,338
123,BMW_M6_CABRIOLET,4.4,8,Z,20,317
124,BMW_M6_GRAN_COUPE,4.4,8,Z,19,338
125,BMW_M6_GRAN_COUPE,4.4,8,Z,20,317
126,BMW_X1_xDRIVE28i,2.0,4,Z,31,209
127,BMW_X1_xDRIVE35i,3.0,6,Z,25,260
128,BMW_X3_xDRIVE28i,2.0,4,Z,28,230
129,BMW_X3_xDRIVE35i,3.0,6,Z,26,253
130,BMW_X5_xDRIVE35i,3.0,6,Z,25,255
131,BMW_X5_xDRIVE50i,4.4,8,Z,20,320
132,BMW_X6_M,4.4,8,Z,18,370
133,BMW_X6_xDRIVE35i,3.0,6,Z,24,274
134,BMW_X6_xDRIVE50i,4.4,8,Z,20,324
135,BMW_Z4_sDRIVE28i,2.0,4,Z,31,209
136,BMW_Z4_sDRIVE28i,2.0,4,Z,32,200
137,BMW_Z4_sDRIVE35i,3.0,6,Z,23,278
138,BMW_Z4_sDRIVE35i,3.0,6,Z,26,253
139,BMW_Z4_sDRIVE35is,3.0,6,Z,23,278
140,BUICK_ENCLAVE,3.6,6,X,23,283
141,BUICK_ENCLAVE_AWD,3.6,6,X,22,290
142,BUICK_ENCORE,1.4,4,X,33,196
143,BUICK_ENCORE_AWD,1.4,4,X,31,212
144,BUICK_LACROSSE,3.6,6,X,25,264
145,BUICK_LACROSSE,3.6,6,E,18,250
146,BUICK_LACROSSE_AWD,3.6,6,X,25,264
147,BUICK_LACROSSE_AWD,3.6,6,E,17,264
148,BUICK_LACROSSE_eASSIST,2.4,4,X,34,189
149,BUICK_REGAL,2.0,4,Z,29,228
150,BUICK_REGAL,2.0,4,Z,29,225
151,BUICK_REGAL_AWD,2.0,4,Z,26,246
152,BUICK_REGAL_eASSIST,2.4,4,X,34,189
153,BUICK_VERANO,2.0,4,Z,29,228
154,BUICK_VERANO,2.0,4,Z,29,225
155,BUICK_VERANO,2.4,4,X,30,218
156,CADILLAC_ATS,2.0,4,Z,29,221
157,CADILLAC_ATS,2.0,4,Z,28,235
158,CADILLAC_ATS,2.5,4,X,31,207
159,CADILLAC_ATS,3.6,6,X,26,251
160,CADILLAC_ATS_AWD,2.0,4,Z,28,232
161,CADILLAC_ATS_AWD,3.6,6,X,25,260
162,CADILLAC_CTS_COUPE,3.6,6,X,25,258
163,CADILLAC_CTS_COUPE_AWD,3.6,6,X,25,262
164,CADILLAC_CTS_SEDAN,2.0,4,Z,28,232
165,CADILLAC_CTS_SEDAN,3.6,6,X,26,248
166,CADILLAC_CTS_SEDAN_AWD,2.0,4,Z,26,248
167,CADILLAC_CTS_SEDAN_AWD,3.6,6,X,25,260
168,CADILLAC_CTS_SEDAN_Vsport,3.6,6,Z,22,294
169,CADILLAC_CTS_SPORT_WAGON,3.0,6,X,26,253
170,CADILLAC_CTS_SPORT_WAGON,3.6,6,X,25,260
171,CADILLAC_CTS_SPORT_WAGON_AWD,3.0,6,X,25,255
172,CADILLAC_CTS_SPORT_WAGON_AWD,3.6,6,X,25,262
173,CADILLAC_CTS-V_COUPE,6.2,8,Z,17,382
174,CADILLAC_CTS-V_COUPE,6.2,8,Z,19,340
175,CADILLAC_CTS-V_SEDAN,6.2,8,Z,17,382
176,CADILLAC_CTS-V_SEDAN,6.2,8,Z,19,340
177,CADILLAC_CTS-V_SPORT_WAGON,6.2,8,Z,17,382
178,CADILLAC_CTS-V_SPORT_WAGON,6.2,8,Z,19,340
179,CADILLAC_ESCALADE_AWD,6.2,8,Z,19,338
180,CADILLAC_ESCALADE_AWD,6.2,8,E,14,322
181,CADILLAC_ESCALADE_ESV_AWD,6.2,8,Z,17,377
182,CADILLAC_ESCALADE_ESV_AWD,6.2,8,E,13,354
183,CADILLAC_SRX,3.6,6,X,23,283
184,CADILLAC_SRX_AWD,3.6,6,X,22,294
185,CADILLAC_XTS,3.6,6,X,25,262
186,CADILLAC_XTS_AWD,3.6,6,X,24,271
187,CADILLAC_XTS_Vsport_AWD,3.6,6,Z,22,290
188,CHEVROLET_CAMARO,3.6,6,X,25,258
189,CHEVROLET_CAMARO,3.6,6,X,24,269
190,CHEVROLET_CAMARO_2LS,3.6,6,X,27,242
191,CHEVROLET_CAMARO_SS,6.2,8,Z,22,294
192,CHEVROLET_CAMARO_SS,6.2,8,Z,22,292
193,CHEVROLET_CAMARO_ZL1,6.2,8,Z,17,382
194,CHEVROLET_CAMARO_ZL1,6.2,8,Z,19,340
195,CHEVROLET_CORVETTE,6.2,8,Z,24,276
196,CHEVROLET_CORVETTE,6.2,8,Z,25,258
197,CHEVROLET_CRUZE,1.4,4,X,36,179
198,CHEVROLET_CRUZE,1.4,4,X,36,179
199,CHEVROLET_CRUZE,1.8,4,X,32,202
200,CHEVROLET_CRUZE,1.8,4,X,34,189
201,CHEVROLET_CRUZE_DIESEL,2.0,4,D,40,192
202,CHEVROLET_CRUZE_ECO,1.4,4,X,37,177
203,CHEVROLET_CRUZE_ECO,1.4,4,X,40,163
204,CHEVROLET_EQUINOX,2.4,4,X,31,209
205,CHEVROLET_EQUINOX,3.6,6,X,24,276
206,CHEVROLET_EQUINOX,3.6,6,E,17,259
207,CHEVROLET_EQUINOX_AWD,2.4,4,X,28,230
208,CHEVROLET_EQUINOX_AWD,3.6,6,X,22,290
209,CHEVROLET_EQUINOX_AWD,3.6,6,E,17,272
210,CHEVROLET_EXPRESS_1500_CARGO,4.3,6,X,19,347
211,CHEVROLET_EXPRESS_1500_CARGO,5.3,8,X,18,366
212,CHEVROLET_EXPRESS_1500_CARGO,5.3,8,E,14,334
213,CHEVROLET_EXPRESS_1500_CARGO_AWD,5.3,8,X,17,380
214,CHEVROLET_EXPRESS_1500_CARGO_AWD,5.3,8,E,13,344
215,CHEVROLET_EXPRESS_1500_CARGO_CONV,5.3,8,X,17,380
216,CHEVROLET_EXPRESS_1500_CARGO_CONV,5.3,8,E,13,344
217,CHEVROLET_EXPRESS_1500_CARGO_CONV_AWD,5.3,8,X,17,380
218,CHEVROLET_EXPRESS_1500_CARGO_CONV_AWD,5.3,8,E,12,362
219,CHEVROLET_EXPRESS_1500_PASSENGER,5.3,8,X,17,380
220,CHEVROLET_EXPRESS_1500_PASSENGER,5.3,8,E,13,344
221,CHEVROLET_EXPRESS_1500_PASSENGER_AWD,5.3,8,X,17,380
222,CHEVROLET_EXPRESS_1500_PASSENGER_AWD,5.3,8,E,12,362
223,CHEVROLET_EXPRESS_2500_PASSENGER,4.8,8,X,16,414
224,CHEVROLET_EXPRESS_2500_PASSENGER,6.0,8,X,15,432
225,CHEVROLET_EXPRESS_2500_PASSENGER,6.0,8,E,11,411
226,CHEVROLET_EXPRESS_3500_PASSENGER,4.8,8,X,16,419
227,CHEVROLET_EXPRESS_3500_PASSENGER,6.0,8,X,15,435
228,CHEVROLET_EXPRESS_3500_PASSENGER,6.0,8,E,11,413
229,CHEVROLET_IMPALA,2.5,4,X,29,221
230,CHEVROLET_IMPALA,3.6,6,X,27,244
231,CHEVROLET_IMPALA,3.6,6,E,20,229
232,CHEVROLET_IMPALA_ECO,2.4,4,X,32,200
233,CHEVROLET_MALIBU,2.0,4,Z,29,228
234,CHEVROLET_MALIBU,2.5,4,X,35,184
235,CHEVROLET_ORLANDO,2.4,4,X,27,244
236,CHEVROLET_ORLANDO,2.4,4,X,28,235
237,CHEVROLET_SILVERADO,4.3,6,X,24,271
238,CHEVROLET_SILVERADO,4.3,6,E,17,269
239,CHEVROLET_SILVERADO,5.3,8,X,22,292
240,CHEVROLET_SILVERADO,5.3,8,E,17,270
241,CHEVROLET_SILVERADO,6.2,8,Z,20,324
242,CHEVROLET_SILVERADO_4WD,4.3,6,X,22,290
243,CHEVROLET_SILVERADO_4WD,4.3,6,E,16,285
244,CHEVROLET_SILVERADO_4WD,5.3,8,X,22,299
245,CHEVROLET_SILVERADO_4WD,5.3,8,E,16,277
246,CHEVROLET_SILVERADO_4WD,6.2,8,Z,20,329
247,CHEVROLET_SONIC,1.4,4,X,35,184
248,CHEVROLET_SONIC,1.4,4,X,38,173
249,CHEVROLET_SONIC,1.8,4,X,34,191
250,CHEVROLET_SONIC,1.8,4,X,36,182
251,CHEVROLET_SONIC_RS,1.4,4,X,34,191
252,CHEVROLET_SONIC_RS,1.4,4,X,35,184
253,CHEVROLET_SONIC_5,1.4,4,X,35,184
254,CHEVROLET_SONIC_5,1.4,4,X,38,172
255,CHEVROLET_SONIC_5,1.8,4,X,34,191
256,CHEVROLET_SONIC_5,1.8,4,X,36,182
257,CHEVROLET_SONIC_5_RS,1.4,4,X,34,191
258,CHEVROLET_SONIC_5_RS,1.4,4,X,35,184
259,CHEVROLET_SPARK,1.2,4,X,41,159
260,CHEVROLET_SPARK,1.2,4,X,41,159
261,CHEVROLET_SUBURBAN,5.3,8,X,20,317
262,CHEVROLET_SUBURBAN,5.3,8,E,15,294
263,CHEVROLET_SUBURBAN_4WD,5.3,8,X,20,317
264,CHEVROLET_SUBURBAN_4WD,5.3,8,E,15,294
265,CHEVROLET_TAHOE,5.3,8,X,20,317
266,CHEVROLET_TAHOE,5.3,8,E,15,294
267,CHEVROLET_TAHOE_4WD,5.3,8,X,20,317
268,CHEVROLET_TAHOE_4WD,5.3,8,E,15,294
269,CHEVROLET_TRAVERSE,3.6,6,X,23,283
270,CHEVROLET_TRAVERSE_AWD,3.6,6,X,22,290
271,CHEVROLET_TRAX,1.4,4,X,34,193
272,CHEVROLET_TRAX,1.4,4,X,35,186
273,CHEVROLET_TRAX_AWD,1.4,4,X,31,207
274,CHRYSLER_300,3.6,6,X,27,237
275,CHRYSLER_200_CONVERTIBLE,2.4,4,X,28,232
276,CHRYSLER_200_CONVERTIBLE,2.4,4,X,26,246
277,CHRYSLER_200_CONVERTIBLE_FFV,3.6,6,X,27,242
278,CHRYSLER_200_CONVERTIBLE_FFV,3.6,6,E,20,230
279,CHRYSLER_200_SEDAN,2.4,4,X,29,225
280,CHRYSLER_200_SEDAN,2.4,4,X,28,230
281,CHRYSLER_200_SEDAN_FFV,3.6,6,X,27,242
282,CHRYSLER_200_SEDAN_FFV,3.6,6,E,20,230
283,CHRYSLER_300_(MDS),5.7,8,X,22,294
284,CHRYSLER_300_AWD,3.6,6,X,26,251
285,CHRYSLER_300_AWD_(MDS),5.7,8,X,21,308
286,CHRYSLER_300_AWD_FFV,3.6,6,X,26,251
287,CHRYSLER_300_AWD_FFV,3.6,6,E,19,237
288,CHRYSLER_300_FFV,3.6,6,X,27,237
289,CHRYSLER_300_FFV,3.6,6,E,20,222
290,CHRYSLER_300_SRT_(MDS),6.4,8,Z,20,317
291,CHRYSLER_TOWN_&_COUNTRY_FFV,3.6,6,X,24,276
292,CHRYSLER_TOWN_&_COUNTRY_FFV,3.6,6,E,17,269
293,DODGE_AVENGER,2.4,4,X,29,225
294,DODGE_AVENGER,2.4,4,X,28,230
295,DODGE_AVENGER_FFV,3.6,6,X,27,242
296,DODGE_AVENGER_FFV,3.6,6,E,20,230
297,DODGE_CHALLENGER,3.6,6,X,25,258
298,DODGE_CHALLENGER,5.7,8,X,22,301
299,DODGE_CHALLENGER_(MDS),5.7,8,X,22,294
300,DODGE_CHALLENGER_SRT,6.4,8,Z,20,320
301,DODGE_CHALLENGER_SRT_(MDS),6.4,8,Z,20,317
302,DODGE_CHARGER,3.6,6,X,25,258
303,DODGE_CHARGER,3.6,6,X,27,237
304,DODGE_CHARGER_(MDS),5.7,8,X,22,294
305,DODGE_CHARGER_AWD,3.6,6,X,26,251
306,DODGE_CHARGER_AWD_(MDS),5.7,8,X,21,308
307,DODGE_CHARGER_AWD_FFV,3.6,6,X,26,251
308,DODGE_CHARGER_AWD_FFV,3.6,6,E,19,237
309,DODGE_CHARGER_FFV,3.6,6,X,25,258
310,DODGE_CHARGER_FFV,3.6,6,E,18,251
311,DODGE_CHARGER_FFV,3.6,6,X,28,235
312,DODGE_CHARGER_FFV,3.6,6,E,20,222
313,DODGE_CHARGER_SRT_(MDS),6.4,8,Z,20,317
314,DODGE_DART,2.0,4,X,35,186
315,DODGE_DART,2.4,4,X,33,198
316,DODGE_DART,2.4,4,X,32,202
317,DODGE_DART_FFV,2.0,4,X,33,198
318,DODGE_DART_FFV,2.0,4,E,23,195
319,DODGE_DART_GT,2.4,4,X,31,212
320,DODGE_DART_GT,2.4,4,X,32,202
321,DODGE_DART_TURBO_AERO,1.4,4,X,39,168
322,DODGE_DART_TURBO_AERO,1.4,4,X,39,168
323,DODGE_DURANGO_AWD_(MDS),5.7,8,X,20,331
324,DODGE_DURANGO_AWD_FFV,3.6,6,X,23,278
325,DODGE_DURANGO_AWD_FFV,3.6,6,E,18,250
326,DODGE_GRAND_CARAVAN_FFV,3.6,6,X,24,271
327,DODGE_GRAND_CARAVAN_FFV,3.6,6,E,17,264
328,DODGE_JOURNEY,2.4,4,X,25,255
329,DODGE_JOURNEY_AWD,3.6,6,X,23,285
330,DODGE_JOURNEY_FFV,3.6,6,X,24,276
331,DODGE_JOURNEY_FFV,3.6,6,E,17,259
332,FIAT_500_ABARTH_CABRIO,1.4,4,X,36,179
333,FIAT_500_ABARTH_HATCHBACK,1.4,4,X,36,179
334,FIAT_500_CABRIO,1.4,4,X,36,182
335,FIAT_500_CABRIO,1.4,4,X,39,166
336,FIAT_500_CABRIO_TURBO,1.4,4,X,36,179
337,FIAT_500_HATCHBACK,1.4,4,X,36,182
338,FIAT_500_HATCHBACK,1.4,4,X,42,156
339,FIAT_500_HATCHBACK_TURBO,1.4,4,X,36,179
340,FIAT_500L_TURBO,1.4,4,X,32,200
341,FIAT_500L_TURBO,1.4,4,X,34,193
342,FORD_C-MAX_HYBRID,2.0,4,X,47,138
343,FORD_E150_VAN_FFV,4.6,8,X,17,373
344,FORD_E150_VAN_FFV,4.6,8,E,13,350
345,FORD_E150_VAN_FFV,5.4,8,X,16,396
346,FORD_E150_VAN_FFV,5.4,8,E,13,360
347,FORD_E150_WAGON_FFV,4.6,8,X,17,386
348,FORD_E150_WAGON_FFV,4.6,8,E,12,368
349,FORD_E350_WAGON,6.8,10,X,13,488
350,FORD_E350_WAGON_FFV,5.4,8,X,15,421
351,FORD_E350_WAGON_FFV,5.4,8,E,12,382
352,FORD_EDGE,2.0,4,X,29,225
353,FORD_EDGE,3.5,6,X,26,248
354,FORD_EDGE_AWD,3.5,6,X,25,264
355,FORD_EDGE_AWD,3.7,6,X,23,281
356,FORD_ESCAPE,1.6,4,X,31,209
357,FORD_ESCAPE,2.0,4,X,29,221
358,FORD_ESCAPE,2.5,4,X,30,216
359,FORD_ESCAPE_AWD,1.6,4,X,30,214
360,FORD_ESCAPE_AWD,2.0,4,X,28,230
361,FORD_EXPEDITION_4X4_FFV,5.4,8,X,18,368
362,FORD_EXPEDITION_4X4_FFV,5.4,8,E,13,346
363,FORD_EXPLORER,2.0,4,X,28,235
364,FORD_EXPLORER_AWD,3.5,6,X,22,299
365,FORD_EXPLORER_FFV,3.5,6,X,24,274
366,FORD_EXPLORER_FFV,3.5,6,E,18,254
367,FORD_EXPLORER_FFV_AWD,3.5,6,X,23,288
368,FORD_EXPLORER_FFV_AWD,3.5,6,E,17,267
369,FORD_F-150,3.5,6,X,22,292
370,FORD_F-150,3.5,6,X,22,294
371,FORD_F-150,6.2,8,X,18,366
372,FORD_F-150_4X4,3.5,6,X,20,317
373,FORD_F-150_4X4,3.5,6,X,21,308
374,FORD_F-150_4X4,6.2,8,X,16,402
375,FORD_F-150_FFV,3.7,6,X,23,283
376,FORD_F-150_FFV,3.7,6,E,17,264
377,FORD_F-150_FFV,3.7,6,X,23,283
378,FORD_F-150_FFV,3.7,6,E,17,264
379,FORD_F-150_FFV,5.0,8,X,19,336
380,FORD_F-150_FFV,5.0,8,E,14,315
381,FORD_F-150_FFV,5.0,8,X,19,336
382,FORD_F-150_FFV,5.0,8,E,14,315
383,FORD_F-150_FFV_4X4,3.7,6,X,21,308
384,FORD_F-150_FFV_4X4,3.7,6,E,16,288
385,FORD_F-150_FFV_4X4,3.7,6,X,21,308
386,FORD_F-150_FFV_4X4,3.7,6,E,16,288
387,FORD_F-150_FFV_4X4,5.0,8,X,19,343
388,FORD_F-150_FFV_4X4,5.0,8,E,14,320
389,FORD_F-150_FFV_4X4,5.0,8,X,19,340
390,FORD_F-150_FFV_4X4,5.0,8,E,14,318
391,FORD_F-150_RAPTOR_4X4,6.2,8,X,16,414
392,FORD_FIESTA,1.6,4,X,37,175
393,FORD_FIESTA,1.6,4,X,37,175
394,FORD_FIESTA_SFE,1.0,4,X,43,152
395,FORD_FIESTA_SFE,1.6,4,X,40,161
396,FORD_FIESTA_ST,1.6,4,X,35,184
397,FORD_FLEX,3.5,6,X,25,264
398,FORD_FLEX_AWD,3.5,6,X,23,278
399,FORD_FLEX_AWD_(EcoBoost),3.5,6,X,22,294
400,FORD_FOCUS,2.0,4,X,32,205
401,FORD_FOCUS_FFV,2.0,4,X,37,177
402,FORD_FOCUS_FFV,2.0,4,E,27,165
403,FORD_FOCUS_FFV,2.0,4,X,36,179
404,FORD_FOCUS_FFV,2.0,4,E,27,165
405,FORD_FOCUS_FFV,2.0,4,X,35,184
406,FORD_FOCUS_FFV,2.0,4,E,27,170
407,FORD_FOCUS_SFE_FFV,2.0,4,X,39,166
408,FORD_FOCUS_SFE_FFV,2.0,4,E,28,162
409,FORD_FUSION,1.5,4,X,33,196
410,FORD_FUSION,1.6,4,X,35,186
411,FORD_FUSION,2.0,4,X,31,207
412,FORD_FUSION,2.5,4,X,32,205
413,FORD_FUSION_(Start/Stop),1.5,4,X,35,186
414,FORD_FUSION_AWD,2.0,4,X,30,216
415,FORD_FUSION_HYBRID,2.0,4,X,51,126
416,FORD_MUSTANG,3.7,6,X,28,235
417,FORD_MUSTANG,3.7,6,X,27,244
418,FORD_MUSTANG,5.0,8,X,25,264
419,FORD_MUSTANG,5.0,8,X,22,292
420,FORD_MUSTANG,5.8,8,Z,21,304
421,FORD_MUSTANG_CONVERTIBLE,3.7,6,X,27,244
422,FORD_TAURUS,2.0,4,X,31,209
423,FORD_TAURUS_AWD,3.5,6,X,24,271
424,FORD_TAURUS_FFV,3.5,6,X,27,237
425,FORD_TAURUS_FFV,3.5,6,E,20,229
426,FORD_TAURUS_FFV_AWD,3.5,6,X,25,258
427,FORD_TAURUS_FFV_AWD,3.5,6,E,18,251
428,FORD_TRANSIT_CONNECT,1.6,4,X,30,218
429,FORD_TRANSIT_CONNECT,2.5,4,X,29,228
430,FORD_TRANSIT_CONNECT_TAXI,1.6,4,X,28,232
431,FORD_TRANSIT_CONNECT_WAGON,2.5,4,X,27,239
432,GMC_ACADIA,3.6,6,X,23,283
433,GMC_ACADIA_AWD,3.6,6,X,22,297
434,GMC_SAVANA_1500_CARGO,4.3,6,X,19,347
435,GMC_SAVANA_1500_CARGO,5.3,8,X,18,366
436,GMC_SAVANA_1500_CARGO,5.3,8,E,14,334
437,GMC_SAVANA_1500_CARGO_AWD,5.3,8,X,17,380
438,GMC_SAVANA_1500_CARGO_AWD,5.3,8,E,13,344
439,GMC_SAVANA_1500_CARGO_CONV,5.3,8,X,17,380
440,GMC_SAVANA_1500_CARGO_CONV,5.3,8,E,13,344
441,GMC_SAVANA_1500_CARGO_CONV_AWD,5.3,8,X,17,380
442,GMC_SAVANA_1500_CARGO_CONV_AWD,5.3,8,E,12,362
443,GMC_SAVANA_1500_PASSENGER,5.3,8,X,17,380
444,GMC_SAVANA_1500_PASSENGER,5.3,8,E,13,344
445,GMC_SAVANA_1500_PASSENGER_AWD,5.3,8,X,17,380
446,GMC_SAVANA_1500_PASSENGER_AWD,5.3,8,E,12,362
447,GMC_SAVANA_2500_PASSENGER,4.8,8,X,16,414
448,GMC_SAVANA_2500_PASSENGER,6.0,8,X,15,432
449,GMC_SAVANA_2500_PASSENGER,6.0,8,E,11,411
450,GMC_SAVANA_3500_PASSENGER,4.8,8,X,16,419
451,GMC_SAVANA_3500_PASSENGER,6.0,8,X,15,435
452,GMC_SAVANA_3500_PASSENGER,6.0,8,E,11,413
453,GMC_SIERRA,4.3,6,X,24,271
454,GMC_SIERRA,4.3,6,E,17,269
455,GMC_SIERRA,5.3,8,X,22,292
456,GMC_SIERRA,5.3,8,E,17,270
457,GMC_SIERRA,6.2,8,Z,20,324
458,GMC_SIERRA_4WD,4.3,6,X,22,290
459,GMC_SIERRA_4WD,4.3,6,E,16,285
